gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
0.01,0.01,100.0,1e-06,optimal,1.961,0.08,-13.182,-4.932,79.961,0.85,9.412,5.966,4.285,5.057,2.814,0.875,3.456,0.197,0.037,2.815,4.096,2.058
0.01,0.1,0.001,1e-06,optimal,23.724,0.0,-9.42,-33.857,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
0.01,0.1,0.01,1e-06,optimal,9.809,0.0,-9.427,-33.915,0.339,-0.716,3.356,-0.703,-0.286,0.017,-0.201,-0.896,-0.297,0.002,-0.067,-0.207,0.027,-0.311
0.01,0.1,0.1,1e-06,optimal,6.021,0.001,-9.492,-34.385,0.516,-0.714,3.362,-0.697,-0.282,0.021,-0.199,-0.894,-0.293,0.002,-0.066,-0.204,0.03,-0.309
0.01,0.1,1.0,1e-06,optimal,2.254,0.003,-10.073,-36.657,3.036,-0.7,3.416,-0.638,-0.242,0.061,-0.172,-0.878,-0.26,0.002,-0.066,-0.177,0.067,-0.288
0.01,0.1,10.0,1e-06,optimal,1.356,0.015,-12.531,-40.28,14.559,-0.559,3.961,-0.042,0.159,0.46,0.094,-0.719,0.076,0.006,-0.056,0.092,0.432,-0.085
0.01,0.1,100.0,1e-06,optimal,1.988,0.078,-13.186,-6.505,78.326,0.849,9.408,5.917,4.17,4.448,2.752,0.872,3.432,0.043,0.037,2.787,4.083,1.949
0.01,1.0,0.001,1e-06,optimal,24.981,0.001,-9.43,-33.444,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.204
0.01,1.0,0.01,1e-06,optimal,5.374,0.001,-9.437,-33.504,1.23,-0.711,3.343,-0.65,-0.225,0.008,-0.165,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.203
0.01,1.0,0.1,1e-06,optimal,1.128,0.001,-9.503,-33.98,1.286,-0.71,3.348,-0.645,-0.222,0.01,-0.163,-0.865,-0.274,0.0,-0.063,-0.186,0.029,-0.202
0.01,1.0,1.0,1e-06,optimal,1.363,0.003,-10.083,-36.323,3.163,-0.696,3.403,-0.59,-0.191,0.028,-0.141,-0.85,-0.243,0.0,-0.062,-0.161,0.065,-0.189
0.01,1.0,10.0,1e-06,optimal,1.329,0.014,-12.545,-40.666,14.488,-0.556,3.945,-0.039,0.126,0.209,0.077,-0.696,0.071,0.001,-0.053,0.084,0.418,-0.056
0.01,1.0,100.0,1e-06,optimal,1.757,0.071,-13.233,-14.089,71.056,0.844,9.37,5.473,3.286,2.019,2.258,0.843,3.205,0.005,0.035,2.534,3.955,1.275
0.01,10.0,0.001,1e-06,optimal,37.914,0.004,-9.538,-32.057,4.16,-0.67,3.215,-0.372,-0.072,0.001,-0.059,-0.653,-0.167,0.0,-0.042,-0.099,0.019,-0.046
0.01,10.0,0.01,1e-06,optimal_inaccurate,126.387,0.004,-9.545,-32.118,4.162,-0.67,3.215,-0.371,-0.072,0.001,-0.059,-0.653,-0.167,0.0,-0.042,-0.099,0.02,-0.046
0.01,10.0,0.1,1e-06,optimal,3.176,0.004,-9.611,-32.609,4.187,-0.669,3.22,-0.368,-0.071,0.001,-0.058,-0.652,-0.165,0.0,-0.042,-0.097,0.022,-0.045
0.01,10.0,1.0,1e-06,optimal,1.348,0.005,-10.195,-35.122,4.698,-0.656,3.272,-0.337,-0.061,0.004,-0.051,-0.64,-0.146,0.0,-0.041,-0.085,0.049,-0.042
0.01,10.0,10.0,1e-06,optimal,1.347,0.014,-12.686,-41.136,14.369,-0.524,3.794,-0.022,0.04,0.032,0.028,-0.524,0.043,0.0,-0.036,0.044,0.318,-0.012
0.01,10.0,100.0,1e-06,optimal,5.065,0.058,-13.664,-31.27,57.882,0.795,9.012,3.125,1.054,0.313,0.808,0.636,1.929,0.0,0.024,1.33,3.01,0.286
0.01,100.0,0.001,1e-06,optimal,72.944,0.01,-10.487,-31.378,9.947,-0.426,2.366,-0.07,-0.009,0.0,-0.008,-0.188,-0.034,0.0,-0.01,-0.017,0.006,-0.005
