gamma,mu,lam,eps,E_err,P_err,score,time,status
10.0,100.0,1000.0,1e-06,0.3939,0.3755,0.001,45.65,optimal_inaccurate
10.0,100.0,10000.0,1e-06,0.394,0.3756,0.0,45.627,user_limit
10.0,100.0,100000.0,1e-06,0.3952,0.3765,0.001,29.248,optimal
10.0,100.0,1000000.0,1e-06,0.4042,0.3839,0.008,8.256,optimal
10.0,1000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.383,optimal
10.0,1000.0,1e-05,1e-06,0.3941,0.3756,0.001,48.686,optimal_inaccurate
10.0,1000.0,0.0001,1e-06,0.394,0.3756,0.001,7.06,optimal
10.0,1000.0,0.001,1e-06,0.394,0.3756,0.001,0.731,optimal
10.0,1000.0,0.01,1e-06,0.3939,0.3755,0.0,0.162,optimal
10.0,1000.0,0.1,1e-06,0.3941,0.3756,0.001,0.39,optimal
10.0,1000.0,1.0,1e-06,0.394,0.3756,0.001,0.162,optimal
10.0,1000.0,10.0,1e-06,0.3939,0.3755,0.001,0.273,optimal
10.0,1000.0,100.0,1e-06,0.3939,0.3755,0.002,7.943,optimal
10.0,1000.0,1000.0,1e-06,0.3939,0.3755,0.001,12.771,optimal
10.0,1000.0,10000.0,1e-06,0.394,0.3756,0.0,45.841,optimal_inaccurate
10.0,1000.0,100000.0,1e-06,0.3952,0.3765,0.001,8.836,optimal
10.0,1000.0,1000000.0,1e-06,0.4042,0.3839,0.008,3.245,optimal
10.0,10000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.36,optimal
10.0,10000.0,1e-05,1e-06,0.394,0.3756,0.002,22.667,optimal
10.0,10000.0,0.0001,1e-06,0.3937,0.3754,0.002,0.164,optimal
10.0,10000.0,0.001,1e-06,0.394,0.3756,0.002,0.163,optimal
10.0,10000.0,0.01,1e-06,0.3941,0.3757,0.002,0.164,optimal
10.0,10000.0,0.1,1e-06,0.394,0.3756,0.002,0.163,optimal
10.0,10000.0,1.0,1e-06,0.394,0.3756,0.002,0.166,optimal
10.0,10000.0,10.0,1e-06,0.394,0.3756,0.002,0.162,optimal
10.0,10000.0,100.0,1e-06,0.3941,0.3756,0.002,1.546,optimal
10.0,10000.0,1000.0,1e-06,0.3938,0.3754,0.002,3.841,optimal
10.0,10000.0,10000.0,1e-06,0.394,0.3755,0.0,33.08,optimal
10.0,10000.0,100000.0,1e-06,0.3952,0.3765,0.001,9.664,optimal
10.0,10000.0,1000000.0,1e-06,0.4042,0.3839,0.008,2.018,optimal
10.0,100000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.274,optimal
10.0,100000.0,1e-05,1e-06,0.3936,0.3752,0.002,5.376,optimal
10.0,100000.0,0.0001,1e-06,0.3937,0.3753,0.002,0.162,optimal
10.0,100000.0,0.001,1e-06,0.394,0.3756,0.002,0.163,optimal
10.0,100000.0,0.01,1e-06,0.3939,0.3755,0.002,0.16,optimal
10.0,100000.0,0.1,1e-06,0.3942,0.3758,0.002,0.161,optimal
10.0,100000.0,1.0,1e-06,0.3941,0.3756,0.002,0.164,optimal
10.0,100000.0,10.0,1e-06,0.3936,0.3753,0.002,0.163,optimal
10.0,100000.0,100.0,1e-06,0.3934,0.3752,0.002,0.161,optimal
10.0,100000.0,1000.0,1e-06,0.3939,0.3755,0.002,1.535,optimal
10.0,100000.0,10000.0,1e-06,0.3938,0.3754,0.002,3.945,optimal
10.0,100000.0,100000.0,1e-06,0.3952,0.3765,0.002,10.784,optimal
10.0,100000.0,1000000.0,1e-06,0.4042,0.3839,0.008,2.349,optimal
10.0,1000000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.168,optimal
10.0,1000000.0,1e-05,1e-06,0.3939,0.3755,0.002,5.276,optimal
10.0,1000000.0,0.0001,1e-06,0.3937,0.3754,0.002,0.164,optimal
10.0,1000000.0,0.001,1e-06,0.3936,0.3753,0.002,0.163,optimal
10.0,1000000.0,0.01,1e-06,0.3938,0.3754,0.001,0.16,optimal
10.0,1000000.0,0.1,1e-06,0.3939,0.3755,0.002,0.161,optimal
10.0,1000000.0,1.0,1e-06,0.3941,0.3757,0.002,0.162,optimal
10.0,1000000.0,10.0,1e-06,0.3943,0.3758,0.002,0.161,optimal
10.0,1000000.0,100.0,1e-06,0.3939,0.3755,0.002,0.162,optimal
10.0,1000000.0,1000.0,1e-06,0.3936,0.3753,0.002,0.163,optimal
10.0,1000000.0,10000.0,1e-06,0.3943,0.3758,0.003,1.193,optimal
10.0,1000000.0,100000.0,1e-06,0.3952,0.3766,0.002,4.065,optimal
10.0,1000000.0,1000000.0,1e-06,0.4042,0.3839,0.008,1.549,optimal
100.0,1e-06,1e-06,1e-06,0.3939,0.3755,0.0,7.397,optimal
100.0,1e-06,1e-05,1e-06,0.3981,0.3789,0.006,47.476,user_limit
100.0,1e-06,0.0001,1e-06,0.3964,0.3775,0.004,46.286,user_limit
100.0,1e-06,0.001,1e-06,0.3964,0.3775,0.004,46.092,user_limit
100.0,1e-06,0.01,1e-06,0.3962,0.3774,0.004,46.133,user_limit
100.0,1e-06,0.1,1e-06,0.396,0.3772,0.004,46.129,user_limit
100.0,1e-06,1.0,1e-06,0.3955,0.3768,0.003,46.139,user_limit
100.0,1e-06,10.0,1e-06,0.395,0.3764,0.002,46.135,user_limit
100.0,1e-06,100.0,1e-06,0.394,0.3756,0.001,46.167,user_limit
100.0,1e-06,1000.0,1e-06,0.3938,0.3754,0.001,45.729,user_limit
100.0,1e-06,10000.0,1e-06,0.3939,0.3755,0.001,45.565,user_limit
100.0,1e-06,100000.0,1e-06,0.394,0.3756,0.0,45.726,user_limit
100.0,1e-06,1000000.0,1e-06,0.3952,0.3765,0.001,24.031,optimal
100.0,1e-05,1e-06,1e-06,0.3939,0.3755,0.0,7.382,optimal
100.0,1e-05,1e-05,1e-06,0.3981,0.3789,0.006,48.732,user_limit
100.0,1e-05,0.0001,1e-06,0.3964,0.3775,0.004,46.675,user_limit
100.0,1e-05,0.001,1e-06,0.3964,0.3775,0.004,46.28,user_limit
100.0,1e-05,0.01,1e-06,0.3962,0.3774,0.004,46.372,user_limit
100.0,1e-05,0.1,1e-06,0.396,0.3772,0.004,46.277,user_limit
100.0,1e-05,1.0,1e-06,0.3955,0.3768,0.003,46.293,user_limit
100.0,1e-05,10.0,1e-06,0.395,0.3764,0.002,46.319,user_limit
100.0,1e-05,100.0,1e-06,0.394,0.3756,0.001,46.356,user_limit
100.0,1e-05,1000.0,1e-06,0.3938,0.3754,0.001,45.952,user_limit
100.0,1e-05,10000.0,1e-06,0.3939,0.3755,0.001,46.221,user_limit
100.0,1e-05,100000.0,1e-06,0.394,0.3756,0.0,46.733,user_limit
100.0,1e-05,1000000.0,1e-06,0.3952,0.3765,0.001,24.304,optimal
100.0,0.0001,1e-06,1e-06,0.3939,0.3755,0.0,7.463,optimal
100.0,0.0001,1e-05,1e-06,0.3981,0.3789,0.006,48.085,user_limit
100.0,0.0001,0.0001,1e-06,0.3964,0.3775,0.004,46.565,user_limit
100.0,0.0001,0.001,1e-06,0.3964,0.3775,0.004,46.232,user_limit
100.0,0.0001,0.01,1e-06,0.3962,0.3774,0.004,46.216,user_limit
100.0,0.0001,0.1,1e-06,0.396,0.3772,0.004,46.238,user_limit
100.0,0.0001,1.0,1e-06,0.3955,0.3768,0.003,46.222,user_limit
100.0,0.0001,10.0,1e-06,0.395,0.3764,0.002,46.261,user_limit
100.0,0.0001,100.0,1e-06,0.394,0.3756,0.001,46.287,user_limit
100.0,0.0001,1000.0,1e-06,0.3938,0.3754,0.001,45.851,user_limit
100.0,0.0001,10000.0,1e-06,0.3939,0.3755,0.001,45.716,user_limit
100.0,0.0001,100000.0,1e-06,0.394,0.3756,0.0,45.852,user_limit
100.0,0.0001,1000000.0,1e-06,0.3952,0.3765,0.001,24.11,optimal
100.0,0.001,1e-06,1e-06,0.3939,0.3755,0.0,7.36,optimal
100.0,0.001,1e-05,1e-06,0.3981,0.3789,0.006,47.54,user_limit
100.0,0.001,0.0001,1e-06,0.3964,0.3775,0.004,46.361,user_limit
100.0,0.001,0.001,1e-06,0.3964,0.3775,0.004,46.271,user_limit
100.0,0.001,0.01,1e-06,0.3962,0.3774,0.004,46.224,user_limit
100.0,0.001,0.1,1e-06,0.396,0.3772,0.004,46.198,user_limit
100.0,0.001,1.0,1e-06,0.3955,0.3768,0.003,46.221,user_limit
100.0,0.001,10.0,1e-06,0.395,0.3764,0.002,46.224,user_limit
100.0,0.001,100.0,1e-06,0.394,0.3756,0.001,46.253,user_limit
100.0,0.001,1000.0,1e-06,0.3938,0.3754,0.001,45.826,user_limit
100.0,0.001,10000.0,1e-06,0.3939,0.3755,0.001,46.963,user_limit
100.0,0.001,100000.0,1e-06,0.394,0.3756,0.0,46.128,user_limit
100.0,0.001,1000000.0,1e-06,0.3952,0.3765,0.001,24.18,optimal
100.0,0.01,1e-06,1e-06,0.3939,0.3755,0.0,7.324,optimal
100.0,0.01,1e-05,1e-06,0.3981,0.3789,0.006,47.867,user_limit
100.0,0.01,0.0001,1e-06,0.3964,0.3775,0.004,46.522,user_limit
100.0,0.01,0.001,1e-06,0.3964,0.3775,0.004,46.996,user_limit
100.0,0.01,0.01,1e-06,0.3962,0.3774,0.004,46.324,user_limit
100.0,0.01,0.1,1e-06,0.396,0.3772,0.004,46.184,user_limit
100.0,0.01,1.0,1e-06,0.3955,0.3768,0.003,46.208,user_limit
100.0,0.01,10.0,1e-06,0.395,0.3764,0.002,48.018,user_limit
100.0,0.01,100.0,1e-06,0.394,0.3756,0.001,46.333,user_limit
100.0,0.01,1000.0,1e-06,0.3938,0.3754,0.001,45.866,user_limit
100.0,0.01,10000.0,1e-06,0.3939,0.3755,0.001,45.689,user_limit
100.0,0.01,100000.0,1e-06,0.394,0.3756,0.0,45.821,user_limit
100.0,0.01,1000000.0,1e-06,0.3952,0.3765,0.001,24.123,optimal
100.0,0.1,1e-06,1e-06,0.3939,0.3755,0.0,7.337,optimal
100.0,0.1,1e-05,1e-06,0.3981,0.3789,0.006,47.603,user_limit
100.0,0.1,0.0001,1e-06,0.3964,0.3775,0.004,46.378,user_limit
100.0,0.1,0.001,1e-06,0.3964,0.3775,0.004,47.73,user_limit
100.0,0.1,0.01,1e-06,0.3962,0.3774,0.004,46.238,user_limit
100.0,0.1,0.1,1e-06,0.396,0.3772,0.004,46.226,user_limit
100.0,0.1,1.0,1e-06,0.3955,0.3768,0.003,46.275,user_limit
100.0,0.1,10.0,1e-06,0.395,0.3764,0.002,46.211,user_limit
100.0,0.1,100.0,1e-06,0.394,0.3756,0.001,46.304,user_limit
100.0,0.1,1000.0,1e-06,0.3938,0.3754,0.001,45.854,user_limit
100.0,0.1,10000.0,1e-06,0.3939,0.3755,0.001,45.683,user_limit
100.0,0.1,100000.0,1e-06,0.394,0.3756,0.0,45.857,user_limit
100.0,0.1,1000000.0,1e-06,0.3952,0.3765,0.001,24.151,optimal
100.0,1.0,1e-06,1e-06,0.3939,0.3755,0.0,7.344,optimal
100.0,1.0,1e-05,1e-06,0.3981,0.3789,0.006,47.55,user_limit
100.0,1.0,0.0001,1e-06,0.3964,0.3775,0.004,46.376,user_limit
100.0,1.0,0.001,1e-06,0.3964,0.3775,0.004,46.23,user_limit
100.0,1.0,0.01,1e-06,0.3962,0.3774,0.004,46.186,user_limit
100.0,1.0,0.1,1e-06,0.396,0.3772,0.004,46.195,user_limit
100.0,1.0,1.0,1e-06,0.3955,0.3768,0.003,46.2,user_limit
100.0,1.0,10.0,1e-06,0.395,0.3764,0.002,46.191,user_limit
100.0,1.0,100.0,1e-06,0.394,0.3756,0.001,46.828,user_limit
100.0,1.0,1000.0,1e-06,0.3938,0.3754,0.001,45.87,user_limit
100.0,1.0,10000.0,1e-06,0.3939,0.3755,0.001,45.706,user_limit
100.0,1.0,100000.0,1e-06,0.394,0.3756,0.0,45.818,user_limit
100.0,1.0,1000000.0,1e-06,0.3952,0.3765,0.001,24.119,optimal
100.0,10.0,1e-06,1e-06,0.3939,0.3755,0.0,7.359,optimal
100.0,10.0,1e-05,1e-06,0.3965,0.3776,0.004,47.668,user_limit
100.0,10.0,0.0001,1e-06,0.3941,0.3757,0.001,46.481,user_limit
100.0,10.0,0.001,1e-06,0.394,0.3756,0.0,46.217,user_limit
100.0,10.0,0.01,1e-06,0.394,0.3756,0.0,46.246,user_limit
100.0,10.0,0.1,1e-06,0.394,0.3756,0.0,46.249,user_limit
100.0,10.0,1.0,1e-06,0.394,0.3756,0.0,46.208,user_limit
100.0,10.0,10.0,1e-06,0.394,0.3756,0.001,46.684,user_limit
100.0,10.0,100.0,1e-06,0.394,0.3756,0.001,45.822,user_limit
100.0,10.0,1000.0,1e-06,0.3939,0.3755,0.0,45.745,user_limit
100.0,10.0,10000.0,1e-06,0.3939,0.3755,0.001,47.364,user_limit
100.0,10.0,100000.0,1e-06,0.394,0.3756,0.0,45.907,user_limit
100.0,10.0,1000000.0,1e-06,0.3952,0.3765,0.001,45.692,user_limit
100.0,100.0,1e-06,1e-06,0.3939,0.3755,0.0,6.92,optimal
100.0,100.0,1e-05,1e-06,0.394,0.3756,0.001,49.4,user_limit
100.0,100.0,0.0001,1e-06,0.394,0.3756,0.0,46.294,user_limit
100.0,100.0,0.001,1e-06,0.3939,0.3755,0.0,46.04,user_limit
100.0,100.0,0.01,1e-06,0.394,0.3756,0.0,45.535,user_limit
100.0,100.0,0.1,1e-06,0.394,0.3755,0.0,45.261,user_limit
100.0,100.0,1.0,1e-06,0.394,0.3756,0.0,45.621,user_limit
100.0,100.0,10.0,1e-06,0.394,0.3756,0.0,45.975,user_limit
100.0,100.0,100.0,1e-06,0.3939,0.3755,0.0,45.832,user_limit
100.0,100.0,1000.0,1e-06,0.394,0.3755,0.001,45.866,user_limit
100.0,100.0,10000.0,1e-06,0.3939,0.3755,0.0,45.641,optimal_inaccurate
100.0,100.0,100000.0,1e-06,0.394,0.3756,0.0,45.641,user_limit
100.0,100.0,1000000.0,1e-06,0.3952,0.3765,0.001,16.08,optimal
100.0,1000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.958,optimal
100.0,1000.0,1e-05,1e-06,0.394,0.3756,0.001,47.586,user_limit
100.0,1000.0,0.0001,1e-06,0.394,0.3756,0.0,45.37,optimal_inaccurate
100.0,1000.0,0.001,1e-06,0.3939,0.3755,0.0,17.66,optimal
100.0,1000.0,0.01,1e-06,0.3939,0.3755,0.0,0.164,optimal
100.0,1000.0,0.1,1e-06,0.3939,0.3755,0.0,0.163,optimal
100.0,1000.0,1.0,1e-06,0.394,0.3756,0.0,0.161,optimal
100.0,1000.0,10.0,1e-06,0.394,0.3756,0.002,0.276,optimal
100.0,1000.0,100.0,1e-06,0.3939,0.3755,0.002,3.509,optimal
100.0,1000.0,1000.0,1e-06,0.3939,0.3755,0.0,45.847,optimal_inaccurate
100.0,1000.0,10000.0,1e-06,0.394,0.3756,0.001,50.291,user_limit
100.0,1000.0,100000.0,1e-06,0.394,0.3756,0.0,45.847,user_limit
100.0,1000.0,1000000.0,1e-06,0.3952,0.3765,0.001,17.039,optimal
100.0,10000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.373,optimal
100.0,10000.0,1e-05,1e-06,0.394,0.3755,0.003,11.156,optimal
100.0,10000.0,0.0001,1e-06,0.3939,0.3755,0.002,0.165,optimal
100.0,10000.0,0.001,1e-06,0.3942,0.3758,0.003,0.275,optimal
100.0,10000.0,0.01,1e-06,0.394,0.3756,0.002,0.162,optimal
100.0,10000.0,0.1,1e-06,0.3937,0.3753,0.002,0.162,optimal
100.0,10000.0,1.0,1e-06,0.3937,0.3753,0.002,0.164,optimal
100.0,10000.0,10.0,1e-06,0.3942,0.3757,0.002,0.161,optimal
100.0,10000.0,100.0,1e-06,0.3936,0.3753,0.003,1.305,optimal
100.0,10000.0,1000.0,1e-06,0.3939,0.3756,0.003,2.234,optimal
100.0,10000.0,10000.0,1e-06,0.3939,0.3755,0.0,45.621,optimal_inaccurate
100.0,10000.0,100000.0,1e-06,0.394,0.3756,0.0,45.581,optimal_inaccurate
100.0,10000.0,1000000.0,1e-06,0.3952,0.3765,0.001,11.42,optimal
100.0,100000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.345,optimal
100.0,100000.0,1e-05,1e-06,0.3939,0.3755,0.002,6.623,optimal
100.0,100000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.393,optimal
100.0,100000.0,0.001,1e-06,0.3939,0.3755,0.002,0.161,optimal
100.0,100000.0,0.01,1e-06,0.3941,0.3756,0.002,0.159,optimal
100.0,100000.0,0.1,1e-06,0.3943,0.3758,0.002,0.159,optimal
100.0,100000.0,1.0,1e-06,0.3942,0.3757,0.002,0.165,optimal
100.0,100000.0,10.0,1e-06,0.3939,0.3755,0.002,0.163,optimal
100.0,100000.0,100.0,1e-06,0.3937,0.3754,0.002,0.16,optimal
100.0,100000.0,1000.0,1e-06,0.3939,0.3755,0.002,1.418,optimal
100.0,100000.0,10000.0,1e-06,0.394,0.3756,0.002,5.315,optimal
100.0,100000.0,100000.0,1e-06,0.394,0.3756,0.001,11.314,optimal
100.0,100000.0,1000000.0,1e-06,0.3952,0.3765,0.001,11.852,optimal
100.0,1000000.0,1e-06,1e-06,0.3939,0.3755,0.0,6.297,optimal
100.0,1000000.0,1e-05,1e-06,0.3942,0.3757,0.002,8.13,optimal
100.0,1000000.0,0.0001,1e-06,0.3938,0.3754,0.002,0.163,optimal
100.0,1000000.0,0.001,1e-06,0.3937,0.3754,0.002,0.159,optimal
100.0,1000000.0,0.01,1e-06,0.3937,0.3754,0.002,0.16,optimal
100.0,1000000.0,0.1,1e-06,0.3935,0.3752,0.002,0.163,optimal
100.0,1000000.0,1.0,1e-06,0.3938,0.3755,0.001,0.16,optimal
100.0,1000000.0,10.0,1e-06,0.394,0.3756,0.002,0.163,optimal
100.0,1000000.0,100.0,1e-06,0.394,0.3756,0.002,0.159,optimal
100.0,1000000.0,1000.0,1e-06,0.3937,0.3753,0.002,0.273,optimal
100.0,1000000.0,10000.0,1e-06,0.3941,0.3757,0.003,1.201,optimal
100.0,1000000.0,100000.0,1e-06,0.3939,0.3755,0.002,4.179,optimal
100.0,1000000.0,1000000.0,1e-06,0.3951,0.3765,0.001,7.247,optimal
1000.0,1e-06,1e-06,1e-06,0.3939,0.3755,0.0,7.702,optimal
1000.0,1e-06,1e-05,1e-06,0.4008,0.3811,0.009,47.661,user_limit
1000.0,1e-06,0.0001,1e-06,0.3984,0.3792,0.006,46.565,user_limit
1000.0,1e-06,0.001,1e-06,0.3977,0.3786,0.005,46.39,user_limit
1000.0,1e-06,0.01,1e-06,0.3972,0.3782,0.005,46.358,user_limit
1000.0,1e-06,0.1,1e-06,0.3967,0.3778,0.005,46.376,user_limit
1000.0,1e-06,1.0,1e-06,0.3966,0.3776,0.004,46.337,user_limit
1000.0,1e-06,10.0,1e-06,0.3965,0.3776,0.004,46.389,user_limit
1000.0,1e-06,100.0,1e-06,0.3942,0.3757,0.001,46.63,user_limit
1000.0,1e-06,1000.0,1e-06,0.3939,0.3755,0.001,45.943,user_limit
1000.0,1e-06,10000.0,1e-06,0.3938,0.3755,0.0,45.862,user_limit
1000.0,1e-06,100000.0,1e-06,0.3939,0.3755,0.0,45.857,user_limit
1000.0,1e-06,1000000.0,1e-06,0.394,0.3756,0.0,45.888,user_limit
1000.0,1e-05,1e-06,1e-06,0.3939,0.3755,0.0,7.772,optimal
1000.0,1e-05,1e-05,1e-06,0.4008,0.3811,0.009,47.627,user_limit
1000.0,1e-05,0.0001,1e-06,0.3984,0.3792,0.006,46.492,user_limit
1000.0,1e-05,0.001,1e-06,0.3977,0.3786,0.005,46.352,user_limit
1000.0,1e-05,0.01,1e-06,0.3972,0.3782,0.005,46.36,user_limit
1000.0,1e-05,0.1,1e-06,0.3967,0.3778,0.005,46.344,user_limit
1000.0,1e-05,1.0,1e-06,0.3966,0.3776,0.004,46.354,user_limit
1000.0,1e-05,10.0,1e-06,0.3965,0.3776,0.004,46.363,user_limit
1000.0,1e-05,100.0,1e-06,0.3942,0.3757,0.001,46.631,user_limit
1000.0,1e-05,1000.0,1e-06,0.3939,0.3755,0.001,46.545,user_limit
1000.0,1e-05,10000.0,1e-06,0.3938,0.3755,0.0,45.841,user_limit
1000.0,1e-05,100000.0,1e-06,0.3939,0.3755,0.0,45.838,user_limit
1000.0,1e-05,1000000.0,1e-06,0.394,0.3756,0.0,45.827,user_limit
1000.0,0.0001,1e-06,1e-06,0.3939,0.3755,0.0,7.911,optimal
1000.0,0.0001,1e-05,1e-06,0.4008,0.3811,0.009,48.557,user_limit
1000.0,0.0001,0.0001,1e-06,0.3984,0.3792,0.006,46.4,user_limit
1000.0,0.0001,0.001,1e-06,0.3977,0.3786,0.005,46.174,user_limit
1000.0,0.0001,0.01,1e-06,0.3972,0.3782,0.005,46.168,user_limit
1000.0,0.0001,0.1,1e-06,0.3967,0.3778,0.005,46.155,user_limit
1000.0,0.0001,1.0,1e-06,0.3966,0.3776,0.004,46.178,user_limit
1000.0,0.0001,10.0,1e-06,0.3965,0.3776,0.004,46.183,user_limit
1000.0,0.0001,100.0,1e-06,0.3942,0.3757,0.001,46.419,user_limit
1000.0,0.0001,1000.0,1e-06,0.3939,0.3755,0.001,45.742,user_limit
1000.0,0.0001,10000.0,1e-06,0.3938,0.3755,0.0,45.696,user_limit
1000.0,0.0001,100000.0,1e-06,0.3939,0.3755,0.0,45.686,user_limit
1000.0,0.0001,1000000.0,1e-06,0.394,0.3756,0.0,45.677,user_limit
1000.0,0.001,1e-06,1e-06,0.3939,0.3755,0.0,7.733,optimal
1000.0,0.001,1e-05,1e-06,0.4008,0.3811,0.009,47.661,user_limit
1000.0,0.001,0.0001,1e-06,0.3984,0.3792,0.006,46.363,user_limit
1000.0,0.001,0.001,1e-06,0.3977,0.3786,0.005,46.237,user_limit
1000.0,0.001,0.01,1e-06,0.3972,0.3782,0.005,46.241,user_limit
1000.0,0.001,0.1,1e-06,0.3967,0.3778,0.005,46.27,user_limit
1000.0,0.001,1.0,1e-06,0.3966,0.3776,0.004,46.255,user_limit
1000.0,0.001,10.0,1e-06,0.3965,0.3776,0.004,46.224,user_limit
1000.0,0.001,100.0,1e-06,0.3942,0.3757,0.001,46.465,user_limit
1000.0,0.001,1000.0,1e-06,0.3939,0.3755,0.001,46.169,user_limit
1000.0,0.001,10000.0,1e-06,0.3938,0.3755,0.0,45.755,user_limit
1000.0,0.001,100000.0,1e-06,0.3939,0.3755,0.0,45.759,user_limit
1000.0,0.001,1000000.0,1e-06,0.394,0.3756,0.0,45.753,user_limit
1000.0,0.01,1e-06,1e-06,0.3939,0.3755,0.0,7.723,optimal
1000.0,0.01,1e-05,1e-06,0.4008,0.3811,0.009,47.557,user_limit
1000.0,0.01,0.0001,1e-06,0.3984,0.3792,0.006,46.354,user_limit
1000.0,0.01,0.001,1e-06,0.3977,0.3786,0.005,46.258,user_limit
1000.0,0.01,0.01,1e-06,0.3972,0.3782,0.005,46.214,user_limit
1000.0,0.01,0.1,1e-06,0.3967,0.3778,0.005,46.209,user_limit
1000.0,0.01,1.0,1e-06,0.3966,0.3776,0.004,46.33,user_limit
1000.0,0.01,10.0,1e-06,0.3965,0.3776,0.004,46.26,user_limit
1000.0,0.01,100.0,1e-06,0.3942,0.3757,0.001,46.471,user_limit
1000.0,0.01,1000.0,1e-06,0.3939,0.3755,0.001,45.806,user_limit
1000.0,0.01,10000.0,1e-06,0.3938,0.3755,0.0,45.743,user_limit
1000.0,0.01,100000.0,1e-06,0.3939,0.3755,0.0,45.763,user_limit
1000.0,0.01,1000000.0,1e-06,0.394,0.3756,0.0,45.708,user_limit
1000.0,0.1,1e-06,1e-06,0.3939,0.3755,0.0,7.704,optimal
1000.0,0.1,1e-05,1e-06,0.4008,0.3811,0.009,48.715,user_limit
1000.0,0.1,0.0001,1e-06,0.3984,0.3792,0.006,47.296,user_limit
1000.0,0.1,0.001,1e-06,0.3977,0.3786,0.005,46.533,user_limit
1000.0,0.1,0.01,1e-06,0.3972,0.3782,0.005,46.279,user_limit
1000.0,0.1,0.1,1e-06,0.3967,0.3778,0.005,46.394,user_limit
1000.0,0.1,1.0,1e-06,0.3966,0.3776,0.004,46.19,user_limit
1000.0,0.1,10.0,1e-06,0.3965,0.3776,0.004,46.199,user_limit
1000.0,0.1,100.0,1e-06,0.3942,0.3757,0.001,46.426,user_limit
1000.0,0.1,1000.0,1e-06,0.3939,0.3755,0.001,45.775,user_limit
1000.0,0.1,10000.0,1e-06,0.3938,0.3755,0.0,45.693,user_limit
1000.0,0.1,100000.0,1e-06,0.3939,0.3755,0.0,45.665,user_limit
1000.0,0.1,1000000.0,1e-06,0.394,0.3756,0.0,45.675,user_limit
1000.0,1.0,1e-06,1e-06,0.3939,0.3755,0.0,7.726,optimal
1000.0,1.0,1e-05,1e-06,0.4004,0.3808,0.009,47.731,user_limit
1000.0,1.0,0.0001,1e-06,0.3968,0.3778,0.005,46.42,user_limit
1000.0,1.0,0.001,1e-06,0.3965,0.3776,0.004,46.243,user_limit
1000.0,1.0,0.01,1e-06,0.3964,0.3775,0.004,46.291,user_limit
1000.0,1.0,0.1,1e-06,0.3963,0.3774,0.004,46.284,user_limit
1000.0,1.0,1.0,1e-06,0.3962,0.3773,0.004,46.269,user_limit
1000.0,1.0,10.0,1e-06,0.3961,0.3772,0.004,46.219,user_limit
1000.0,1.0,100.0,1e-06,0.394,0.3756,0.001,46.456,user_limit
1000.0,1.0,1000.0,1e-06,0.3939,0.3755,0.001,45.804,user_limit
1000.0,1.0,10000.0,1e-06,0.3939,0.3755,0.0,45.743,user_limit
1000.0,1.0,100000.0,1e-06,0.394,0.3756,0.001,46.112,user_limit
1000.0,1.0,1000000.0,1e-06,0.394,0.3756,0.0,45.714,user_limit
1000.0,10.0,1e-06,1e-06,0.3939,0.3755,0.0,7.294,optimal
1000.0,10.0,1e-05,1e-06,0.3964,0.3775,0.004,47.543,user_limit
1000.0,10.0,0.0001,1e-06,0.3943,0.3758,0.001,46.409,user_limit
1000.0,10.0,0.001,1e-06,0.394,0.3756,0.001,46.184,user_limit
1000.0,10.0,0.01,1e-06,0.394,0.3756,0.0,46.197,user_limit
1000.0,10.0,0.1,1e-06,0.394,0.3756,0.0,46.172,user_limit
1000.0,10.0,1.0,1e-06,0.394,0.3756,0.0,46.123,user_limit
1000.0,10.0,10.0,1e-06,0.394,0.3756,0.001,46.811,user_limit
1000.0,10.0,100.0,1e-06,0.394,0.3756,0.0,45.869,user_limit
1000.0,10.0,1000.0,1e-06,0.3939,0.3755,0.001,45.68,optimal_inaccurate
1000.0,10.0,10000.0,1e-06,0.3938,0.3755,0.001,46.495,user_limit
1000.0,10.0,100000.0,1e-06,0.3938,0.3755,0.0,45.746,user_limit
1000.0,10.0,1000000.0,1e-06,0.394,0.3756,0.0,45.676,user_limit
1000.0,100.0,1e-06,1e-06,0.3939,0.3755,0.0,7.324,optimal
1000.0,100.0,1e-05,1e-06,0.3963,0.3774,0.004,47.423,user_limit
1000.0,100.0,0.0001,1e-06,0.394,0.3756,0.001,46.181,user_limit
1000.0,100.0,0.001,1e-06,0.394,0.3756,0.0,45.391,user_limit
1000.0,100.0,0.01,1e-06,0.394,0.3756,0.0,45.351,user_limit
1000.0,100.0,0.1,1e-06,0.3939,0.3755,0.0,47.49,optimal_inaccurate
1000.0,100.0,1.0,1e-06,0.3939,0.3755,0.0,45.2,optimal
1000.0,100.0,10.0,1e-06,0.394,0.3756,0.001,10.939,optimal
1000.0,100.0,100.0,1e-06,0.3939,0.3755,0.001,15.117,optimal
1000.0,100.0,1000.0,1e-06,0.3938,0.3755,0.001,45.634,user_limit
1000.0,100.0,10000.0,1e-06,0.3939,0.3755,0.001,45.584,user_limit
